feature,dtype,pct_missing,example_values
FLAG_DOCUMENT_6,int8,0.0,"[0, 0, 0]"
FLAG_DOCUMENT_7,int8,0.0,"[0, 0, 0]"
FLAG_DOCUMENT_8,int8,0.0,"[0, 0, 0]"
FLAG_DOCUMENT_9,int8,0.0,"[0, 0, 0]"
FLAG_DOCUMENT_10,int8,0.0,"[0, 0, 0]"
FLAG_DOCUMENT_11,int8,0.0,"[0, 0, 0]"
FLAG_DOCUMENT_12,int8,0.0,"[0, 0, 0]"
FLAG_DOCUMENT_13,int8,0.0,"[0, 0, 0]"
FLAG_DOCUMENT_14,int8,0.0,"[0, 0, 0]"
FLAG_DOCUMENT_15,int8,0.0,"[0, 0, 0]"
FLAG_DOCUMENT_16,int8,0.0,"[0, 0, 0]"
FLAG_DOCUMENT_17,int8,0.0,"[0, 0, 0]"
FLAG_DOCUMENT_18,int8,0.0,"[0, 0, 0]"
FLAG_DOCUMENT_19,int8,0.0,"[0, 0, 0]"
FLAG_DOCUMENT_20,int8,0.0,"[0, 0, 0]"
FLAG_DOCUMENT_21,int8,0.0,"[0, 0, 0]"
AMT_REQ_CREDIT_BUREAU_HOUR,float16,13.35,"[0.0, 0.0, 0.0]"
AMT_REQ_CREDIT_BUREAU_DAY,float16,13.35,"[0.0, 0.0, 0.0]"
AMT_REQ_CREDIT_BUREAU_WEEK,float16,13.35,"[0.0, 0.0, 0.0]"
AMT_REQ_CREDIT_BUREAU_MON,float16,13.35,"[0.0, 0.0, 0.0]"
AMT_REQ_CREDIT_BUREAU_QRT,float16,13.35,"[0.0, 0.0, 0.0]"
AMT_REQ_CREDIT_BUREAU_YEAR,float16,13.35,"[1.0, 0.0, 0.0]"
CREDIT_INCOME_RATIO,float32,0.0,"[2.0078887939453125, 4.790750026702881, 2.0]"
ANNUITY_INCOME_RATIO,float32,0.01,"[0.1219777762889862, 0.1322166621685028, 0.10000000149011612]"
CREDIT_TERM,float32,0.01,"[16.461103439331055, 36.23408508300781, 20.0]"
GOODS_CREDIT_RATIO,float32,0.08,"[0.8632615804672241, 0.8732105493545532, 1.0]"
AGE_YEARS,float64,0.0,"[25.92054794520548, 45.93150684931507, 52.18082191780822]"
YEARS_EMPLOYED,float64,18.15,"[1.7452054794520548, 3.254794520547945, 0.6164383561643836]"
EMPLOYMENT_RATIO,float64,18.15,"[0.06732903498573801, 0.07086191470325505, 0.011813504147853189]"
EXT_SOURCE_MEAN,float16,0.05,"[0.1617431640625, 0.466796875, 0.642578125]"
EXT_SOURCE_MIN,float16,0.05,"[0.0830078125, 0.311279296875, 0.55615234375]"
EXT_SOURCE_PROD,float64,0.05,"[0.0030422210693359375, 0.193603515625, 0.40576171875]"
ADDRESS_MISMATCH_SCORE,int64,0.0,"[0, 0, 0]"
ENQUIRY_RECENT,float16,0.0,"[0.0, 0.0, 0.0]"
SOCIAL_CIRCLE_DEFAULT_RATE_30,float16,53.61,"[1.0, 0.0, 0.0]"
DOCUMENT_COUNT,int64,0.0,"[1, 1, 0]"
BUREAU_LOAN_COUNT,float64,14.16,"[8.0, 4.0, 2.0]"
BUREAU_ACTIVE_COUNT,float64,14.16,"[2.0, 1.0, 0.0]"
BUREAU_CLOSED_COUNT,float64,14.16,"[6.0, 3.0, 2.0]"
BUREAU_MAX_OVERDUE_DAYS,float64,14.16,"[0.0, 0.0, 0.0]"
BUREAU_AMT_CREDIT_MAX_OVERDUE_SUM,float32,14.16,"[8405.14453125, 0.0, 0.0]"
BUREAU_AMT_CREDIT_MAX_OVERDUE_MAX,float32,40.22,"[5043.64501953125, 0.0, 0.0]"
BUREAU_AMT_CREDIT_SUM_OVERDUE_SUM,float32,14.16,"[0.0, 0.0, 0.0]"
BUREAU_AMT_CREDIT_SUM_OVERDUE_MAX,float32,14.16,"[0.0, 0.0, 0.0]"
BUREAU_CREDIT_SUM_TOTAL,float32,14.16,"[865055.5625, 1017400.5, 189037.796875]"
BUREAU_CREDIT_SUM_DEBT_TOTAL,float32,14.16,"[245781.0, 0.0, 0.0]"
BUREAU_CREDIT_TYPE_COUNT,float64,14.16,"[2.0, 2.0, 1.0]"
BUREAU_DAYS_CREDIT_MAX,float64,14.16,"[-103.0, -606.0, -408.0]"
BUREAU_DEBT_RATIO,float32,14.16,"[0.28412163257598877, 0.0, 0.0]"
BB_DELINQUENT_MONTHS_TOTAL,float64,14.16,"[27.0, 0.0, 0.0]"
BB_SEVERE_MONTHS_TOTAL,float64,14.16,"[0.0, 0.0, 0.0]"
BB_MAX_DPD_EVER,float64,63.03,"[1.0, 0.0, 0.0]"
BB_DELINQUENT_PROP_MEAN,float64,62.23,"[0.2556818181542162, 0.0, 0.0]"
INST_PAYMENT_DELAY_MEAN,float32,4.68,"[-20.421052932739258, -7.199999809265137, -7.666666507720947]"
INST_PAYMENT_DELAY_MAX,float16,4.68,"[-12.0, -2.0, -3.0]"
INST_PAYMENT_RATIO_MEAN,float32,4.68,"[1.0, 1.0, 1.0]"
INST_PAYMENT_RATIO_MIN,float32,4.68,"[1.0, 1.0, 1.0]"
INST_LATE_PAYMENT_COUNT,float64,4.68,"[0.0, 0.0, 0.0]"
INST_MISSED_PAYMENT_COUNT,float64,4.68,"[0.0, 0.0, 0.0]"
INST_RECENT_DELAY_TREND,float32,37.15,"[7.702381134033203, 42.21818542480469, 0.026124954223632812]"
CC_UTILISATION_MEAN,float64,70.93,"[0.0, 0.3026783950714003, 0.0]"
CC_UTILISATION_MAX,float64,70.93,"[0.0, 1.0499999999999943, 0.0]"
CC_ATM_DRAW_RATIO,float32,79.74,"[0.013513513840734959, 0.03030303120613098, 0.03333333507180214]"
CC_MIN_PAYMENT_RATIO,float32,79.76,"[308687667200.0, 1.1916214227676392, 553136947200.0]"
CC_DPD_MAX,float64,70.93,"[0.0, 0.0, 0.0]"
CC_DPD_MEAN,float64,70.93,"[0.0, 0.0, 0.0]"
POS_DPD_COUNT,float64,5.33,"[0.0, 0.0, 0.0]"
POS_DPD_MAX,float64,5.33,"[0.0, 0.0, 0.0]"
POS_INSTALMENT_REMAINING_MEAN,float32,5.34,"[0.625, 0.5446363091468811, 0.5625]"
PREV_TOTAL_COUNT,float64,4.88,"[1.0, 3.0, 1.0]"
PREV_APPROVED_COUNT,float64,4.88,"[1.0, 3.0, 1.0]"
PREV_REFUSED_COUNT,float64,4.88,"[0.0, 0.0, 0.0]"
PREV_CANCELLED_COUNT,float64,4.88,"[0.0, 0.0, 0.0]"
PREV_AMT_CREDIT_APPLICATION_GAP_MEAN,float32,4.88,"[0.0, 48754.5, -4176.0]"
PREV_PRODUCT_TYPE_COUNT,float64,4.88,"[1.0, 2.0, 1.0]"
PREV_DAYS_DECISION_MAX,float64,4.88,"[-606.0, -746.0, -815.0]"
PREV_APPROVAL_RATE,float64,4.88,"[0.9999999989999999, 0.9999999996666666, 0.9999999989999999]"
